groupname,limit
ACa-s,0
ACa-d,0
ACb-s,0
ACb-d,0
ACc-s,0
ACc-d,0
BFa-s,0
BFa-d,0
BFb-s,0
BFb-d,0
BRa-s,0
BRa-d,0
CDa-s,0
CDa-d,0
CDb-s,0
CDb-d,0
CDc-s,0
CDc-d,0
CFa-s,0
CFa-d,0
CFb-s,0
CFb-d,0
CFc-s,0
CFc-d,0
CGa-s,0
CGa-d,0
CGb-s,0
CGb-d,0
CGc-s,0
CGc-d,0
EIa-s,0
EIa-d,0
EIb-s,0
EIb-d,0
EIc-s,0
EIc-d,0
ENa-s,0
ENa-d,0
ENb-s,0
ENb-d,0
ENc-s,0
ENc-d,0
ERa-s,0
ERa-d,0
FEa-s,0
FEa-d,0
FEb-s,0
FEb-d,0
FIa-s,0
FIa-d,0
FIb-s,0
FIb-d,0
FIc-s,0
FIc-d,0
FId-s,0
FId-d,0
FIe-s,0
FIe-d,0
FIf-s,0
FIf-d,0
FIg-s,0
FIg-d,0
FIi-s,0
FIi-d,0
FIk-s,0
FIk-d,0
FIm-s,0
FIm-d,0
FIn-s,0
FIn-d,0
FIp-s,0
FIp-d,0
FIr-s,0
FIr-d,0
FMa-s,0
FMa-d,0
FMb-s,0
FMb-d,0
FMc-s,0
FMc-d,0
FMd-s,0
FMd-d,0
GEa-s,0
GEa-d,0
GEb-s,0
GEb-d,0
GEc-s,0
GEc-d,0
GEd-s,0
GEd-d,0
HEa-s,0
HEa-d,0
HTa-s,0
HTa-d,0
HTb-s,0
HTb-d,0
HTc-s,0
HTc-d,0
HTd-s,0
HTd-d,0
ICa-s,0
ICa-d,0
ICb-s,0
ICb-d,0
INa-s,0
INa-d,0
INf-s,0
INf-d,0
INg-s,0
INg-d,0
INh-s,0
INh-d,0
ISa-s,0
ISa-d,0
KEa-s,0
KEa-d,0
KEb-s,0
KEb-d,0
KVa-s,0
KVa-d,0
LEb-s,0
LEb-d,0
LEc-s,0
LEc-d,0
MCa-s,0
MCa-d,0
MGa-s,0
MGa-d,0
MGc-s,0
MGc-d,0
MHa-s,0
MHa-d,0
MHc-s,0
MHc-d,0
MSa-s,0
MSa-d,0
RCa-s,0
RCa-d,0
RCb-s,0
RCb-d,0
RFa-s,0
RFa-d,0
RFb-s,0
RFb-d,0
SEa-s,0
SEa-d,0
SEb-s,0
SEb-d,0
SEc-s,0
SEc-d,0
SEd-s,0
SEd-d,0
SMa-s,0
SMa-d,0
SMb-s,0
SMb-d,0
SMc-s,0
SMc-d,0
SMd-s,0
SMd-d,0
SMe-s,0
SMe-d,0
SMf-s,0
SMf-d,0
STa-s,0
STa-d,0
STb-s,0
STb-d,0
SWb-s,0
SWb-d,0
SWc-s,0
SWc-d,0
TFa-s,0
TFa-d,0
TFb-s,0
TFb-d,0
XXa-s,0
XXa-d,0
XXb-s,0
XXb-d,0
XXg-s,0
XXg-d,0
YYa-s,0
YYa-d,0
YYb-s,0
YYb-d,0
ZZa-s,0
ZZa-d,0
ZZb-s,0
ZZb-d,0
ZZc-s,0
ZZc-d,0
ZZd-s,0
ZZd-d,0
ZZe-s,0
ZZe-d,0
ZZg-s,0
ZZg-d,0
