username,limit
fjse01-s,200
fjse01-d,1000
fj-hasimoto-s,200
fj-hasimoto-d,1000
fj-nagahama-s,200
fj-nagahama-d,1000
fj-konishi-s,200
fj-konishi-d,1000
fj-aoyagi-s,200
fj-aoyagi-d,1000
fj-inzali-s,200
fj-inzali-d,1000
fj-nomura-s,200
fj-nomura-d,1000
fj-sugano-s,200
fj-sugano-d,1000
fj-yamada-s,200
fj-yamada-d,1000
sstc-sudo-s,200
sstc-sudo-d,1000
fj-asano-s,200
fj-asano-d,1000
fj-hotta-s,200
fj-hotta-d,1000
fj-imura-s,200
fj-imura-d,1000
fj-nakaj-s,200
fj-nakaj-d,1000
fj-ogasa-s,200
fj-ogasa-d,1000
fj-okada-s,200
fj-okada-d,1000
fj-osaki-s,200
fj-osaki-d,1000
ACa001-s,200
ACa001-d,1000
ACa002-s,200
ACa002-d,1000
ACa003-s,200
ACa003-d,1000
ACa004-s,200
ACa004-d,1000
ACa005-s,200
ACa005-d,1000
ACa006-s,200
ACa006-d,1000
ACa007-s,200
ACa007-d,1000
ACa008-s,200
ACa008-d,1000
ACa009-s,200
ACa009-d,1000
ACa010-s,200
ACa010-d,1000
ACa011-s,200
ACa011-d,1000
ACa012-s,200
ACa012-d,1000
ACa013-s,200
ACa013-d,1000
ACa014-s,200
ACa014-d,1000
ACa015-s,200
ACa015-d,1000
ACa016-s,200
ACa016-d,1000
ACa017-s,200
ACa017-d,1000
ACa018-s,200
ACa018-d,1000
ACa019-s,200
ACa019-d,1000
ACa020-s,200
ACa020-d,1000
ACa021-s,200
ACa021-d,1000
ACa022-s,200
ACa022-d,1000
ACa023-s,200
ACa023-d,1000
ACa024-s,200
ACa024-d,1000
ACa025-s,200
ACa025-d,1000
ACb001-s,200
ACb001-d,1000
ACc001-s,200
ACc001-d,1000
ACc002-s,200
ACc002-d,1000
ACc003-s,200
ACc003-d,1000
ACc004-s,200
ACc004-d,1000
ACc005-s,200
ACc005-d,1000
ACc006-s,200
ACc006-d,1000
ACc007-s,200
ACc007-d,1000
ACc008-s,200
ACc008-d,1000
ACc009-s,200
ACc009-d,1000
BFa001-s,200
BFa001-d,1000
BFa002-s,200
BFa002-d,1000
BFa003-s,200
BFa003-d,1000
BFa004-s,200
BFa004-d,1000
BFa007-s,200
BFa007-d,1000
BFa008-s,200
BFa008-d,1000
BFa009-s,200
BFa009-d,1000
BFa010-s,200
BFa010-d,1000
BFa012-s,200
BFa012-d,1000
BFa014-s,200
BFa014-d,1000
BFa016-s,200
BFa016-d,1000
BFa017-s,200
BFa017-d,1000
BFa019-s,200
BFa019-d,1000
BFa020-s,200
BFa020-d,1000
BFa021-s,200
BFa021-d,1000
BFa022-s,200
BFa022-d,1000
BFa023-s,200
BFa023-d,1000
BFa025-s,200
BFa025-d,1000
BFa026-s,200
BFa026-d,1000
BFa028-s,200
BFa028-d,1000
BFa029-s,200
BFa029-d,1000
BFa030-s,200
BFa030-d,1000
BFa031-s,200
BFa031-d,1000
BFa032-s,200
BFa032-d,1000
BFa034-s,200
BFa034-d,1000
BFa036-s,200
BFa036-d,1000
BFa037-s,200
BFa037-d,1000
BRa001-s,200
BRa001-d,1000
BRa003-s,200
BRa003-d,1000
CDa001-s,200
CDa001-d,1000
CDa002-s,200
CDa002-d,1000
CDa003-s,200
CDa003-d,1000
CDa004-s,200
CDa004-d,1000
CDa005-s,200
CDa005-d,1000
CDa006-s,200
CDa006-d,1000
CDb001-s,200
CDb001-d,1000
CDc002-s,200
CDc002-d,1000
CFa001-s,200
CFa001-d,1000
CFa002-s,200
CFa002-d,1000
CFa003-s,200
CFa003-d,1000
CFa004-s,200
CFa004-d,1000
CFa005-s,200
CFa005-d,1000
CFa006-s,200
CFa006-d,1000
CFa007-s,200
CFa007-d,1000
CFa008-s,200
CFa008-d,1000
CFa009-s,200
CFa009-d,1000
CFa010-s,200
CFa010-d,1000
CFa011-s,200
CFa011-d,1000
CFa012-s,200
CFa012-d,1000
CFa013-s,200
CFa013-d,1000
CFa014-s,200
CFa014-d,1000
CFa015-s,200
CFa015-d,1000
CFa016-s,200
CFa016-d,1000
CFa017-s,200
CFa017-d,1000
CFb002-s,200
CFb002-d,1000
CFb003-s,200
CFb003-d,1000
CFb004-s,200
CFb004-d,1000
CFb005-s,200
CFb005-d,1000
CFb006-s,200
CFb006-d,1000
CFb007-s,200
CFb007-d,1000
CFb008-s,200
CFb008-d,1000
CFb009-s,200
CFb009-d,1000
CFb010-s,200
CFb010-d,1000
CFb011-s,200
CFb011-d,1000
CFb012-s,200
CFb012-d,1000
CFb017-s,200
CFb017-d,1000
CFb019-s,200
CFb019-d,1000
CFb020-s,200
CFb020-d,1000
CFc001-s,200
CFc001-d,1000
CGa001-s,200
CGa001-d,1000
CGa002-s,200
CGa002-d,1000
CGa003-s,200
CGa003-d,1000
CGa004-s,200
CGa004-d,1000
CGa005-s,200
CGa005-d,1000
CGa006-s,200
CGa006-d,1000
CGa007-s,200
CGa007-d,1000
CGa008-s,200
CGa008-d,1000
CGa009-s,200
CGa009-d,1000
CGa010-s,200
CGa010-d,1000
CGa011-s,200
CGa011-d,1000
CGa012-s,200
CGa012-d,1000
CGa013-s,200
CGa013-d,1000
CGa014-s,200
CGa014-d,1000
CGa015-s,200
CGa015-d,1000
CGa016-s,200
CGa016-d,1000
CGa017-s,200
CGa017-d,1000
CGa018-s,200
CGa018-d,1000
CGb001-s,200
CGb001-d,1000
CGb002-s,200
CGb002-d,1000
CGb003-s,200
CGb003-d,1000
CGb004-s,200
CGb004-d,1000
CGb005-s,200
CGb005-d,1000
CGc001-s,200
CGc001-d,1000
EIa001-s,200
EIa001-d,1000
EIa002-s,200
EIa002-d,1000
EIb001-s,200
EIb001-d,1000
EIc001-s,200
EIc001-d,1000
EIc002-s,200
EIc002-d,1000
EIc003-s,200
EIc003-d,1000
EIc004-s,200
EIc004-d,1000
EIc005-s,200
EIc005-d,1000
EIc006-s,200
EIc006-d,1000
ENa001-s,200
ENa001-d,1000
ENa003-s,200
ENa003-d,1000
ENa006-s,200
ENa006-d,1000
ENa007-s,200
ENa007-d,1000
ENa008-s,200
ENa008-d,1000
ENa009-s,200
ENa009-d,1000
ENa010-s,200
ENa010-d,1000
ENa011-s,200
ENa011-d,1000
ENa012-s,200
ENa012-d,1000
ENa013-s,200
ENa013-d,1000
ENa014-s,200
ENa014-d,1000
ENa015-s,200
ENa015-d,1000
ENa016-s,200
ENa016-d,1000
ENa017-s,200
ENa017-d,1000
ENa018-s,200
ENa018-d,1000
ENa019-s,200
ENa019-d,1000
ENa020-s,200
ENa020-d,1000
ENa021-s,200
ENa021-d,1000
ENa022-s,200
ENa022-d,1000
ENa023-s,200
ENa023-d,1000
ENa024-s,200
ENa024-d,1000
ENa026-s,200
ENa026-d,1000
ENa028-s,200
ENa028-d,1000
ENa029-s,200
ENa029-d,1000
ENa031-s,200
ENa031-d,1000
ENa033-s,200
ENa033-d,1000
ENa038-s,200
ENa038-d,1000
ENa040-s,200
ENa040-d,1000
ENa041-s,200
ENa041-d,1000
ENa042-s,200
ENa042-d,1000
ENa043-s,200
ENa043-d,1000
ENa044-s,200
ENa044-d,1000
ENb001-s,200
ENb001-d,1000
ENb002-s,200
ENb002-d,1000
ENb003-s,200
ENb003-d,1000
ERa001-s,200
ERa001-d,1000
ERa002-s,200
ERa002-d,1000
FEa002-s,200
FEa002-d,1000
FEa003-s,200
FEa003-d,1000
FEb001-s,200
FEb001-d,1000
FEb002-s,200
FEb002-d,1000
FEb003-s,200
FEb003-d,1000
FEb004-s,200
FEb004-d,1000
FEb005-s,200
FEb005-d,1000
FEb006-s,200
FEb006-d,1000
FEb007-s,200
FEb007-d,1000
FEb008-s,200
FEb008-d,1000
FEb009-s,200
FEb009-d,1000
FEb010-s,200
