username,limit,used_total,used_batch,used_tss
FIm007-d,200.0,0,0,0
SMa060-s,200.0,0,0,0
RFa061-d,15000.0,32.52451694444444,32.52451694444444,0
STa009-d,15000.0,0,0,0
FIm007-s,0.0,0,0,0
SMa060-d,1000.0,0,0,0
ZZa003-s,2000.0,0,0,0
BFa031-s,2000.0,0,0,0
FIg012-d,1000.0,0,0,0
RFa001-d,15000.0,0,0,0
SEa001-s,2000.0,0,0,0
ENa038-d,1000.0,0,0,0
STa015-s,2000.0,0,0,0
SEa001-d,15000.0,0,0,0
RFa001-s,2000.0,0,0,0
FIg012-s,200.0,0,0,0
STa015-d,15000.0,0,0,0
ENa038-s,200.0,0,0,0
BFa036-s,2000.0,0,0,0
FIg015-d,1000.0,0,0,0
BFa036-d,15000.0,0,0,0
FIg015-s,200.0,0,0,0
FIm008-s,0.0,0,0,0
GEb018-s,2000.0,0,0,0
FIa171-s,2000.0,0,0,0
FIa146-s,2000.0,0,0,0
FIa141-s,2000.0,0,0,0
GEb016-s,2000.0,0,0,0
NIa044-s,2000.0,0,0,0
FIa172-s,2000.0,0,0,0
FIg011-d,15000.0,0,0,0
FIa146-d,15000.0,0,0,0
FIa171-d,15000.0,0,0,0
GEb018-d,15000.0,0,0,0
FIm008-d,200.0,0,0,0
FIg011-s,2000.0,0,0,0
FIa172-d,15000.0,0,0,0
NIa044-d,15000.0,0,0,0
GEb016-d,15000.0,0,0,0
FIa141-d,15000.0,0,0,0
SWb025-d,15000.0,0,0,0
SWb025-s,2000.0,0,0,0
SWb022-s,2000.0,0,0,0
FMa030-s,100.0,0,0,0
FMa033-s,50.0,0,0,0
FMa030-d,500.0,0,0,0
SWb022-d,15000.0,0,0,0
NIa001-s,2000.0,0,0,0
RFa046-d,15000.0,0,0,0
CFb019-d,15000.0,0,0,0
SMa067-d,1000.0,0,0,0
SEa022-d,1000.0,0,0,0
RFa046-s,2000.0,0,0,0
FMa035-s,50.0,0,0,0
SEa022-s,200.0,0,0,0
SMa067-s,200.0,0,0,0
FIa162-s,200.0,0,0,0
BRa001-d,15000.0,0,0,0
FMd001-s,2000.0,0,0,0
FIm004-d,200.0,0,0,0
FIm004-s,0.0,0,0,0
FMd001-d,15000.0,447.40882777777773,447.40882777777773,0
BRa001-s,2000.0,0,0,0
MCa003-s,200.0,0,0,0
LEb013-d,1000.0,0,0,0
FIm001-d,200.0,0,0,0
FMa034-d,100.0,0,0,0
MCa003-d,1000.0,0,0,0
FMa034-s,50.0,0,0,0
FIm001-s,0.0,0,0,0
LEb013-s,200.0,0,0,0
STa014-s,2000.0,0,0,0
FIg013-s,200.0,0,0,0
NIa025-d,15000.0,0,0,0
LEb017-d,15000.0,0,0,0
FIa162-d,1000.0,0,0,0
BFa037-d,15000.0,0,0,0
FIg013-d,1000.0,0,0,0
FMa035-d,100.0,0,0,0
STa014-d,15000.0,0,0,0
BFa037-s,2000.0,0,0,0
LEb017-s,2000.0,0,0,0
NIa025-s,2000.0,0,0,0
NIa022-s,200.0,0,0,0
BFa034-s,2000.0,0,0,0
CFb015-d,15000.0,0,0,0
FIg014-d,1000.0,0,0,0
NIa048-d,15000.0,0,0,0
SMa001-d,15000.0,0,0,0
BFa031-d,15000.0,0,0,0
NIa048-s,2000.0,0,0,0
