[ Mon Jul 16 14:49:11 JST 2018 (update every 15 minits)]
Job-ID     prior   name       user       jclass               submit time         estimate start time
---------- ------- ---------- ---------- -------------------- ------------------- ------------------
5425       0.54947 smb        fj-okada   smb.A                2018/07/16 12:12:28 2018/07/17 00:39:24
5569       0.55923 smb        fj-okada   smb.D                2018/07/16 14:25:48 2018/07/17 00:39:19
5598       0.53970 HybridJ    fj-okada   dma.A                2018/07/16 14:38:11 2018/07/17 00:48:43
5706       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:08 2018/07/14 23:25:33
5707       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:08 2018/07/17 00:38:03
5708       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:08 2018/07/17 00:38:03
5709       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:08 2018/07/17 00:38:04
5710       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:09 2018/07/17 00:38:04
5711       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:09 2018/07/17 00:38:04
5712       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:09 2018/07/17 00:38:04
5713       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:09 2018/07/17 00:38:05
5714       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:10 2018/07/17 00:38:05
5715       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:10 2018/07/17 00:38:05
5716       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:10 2018/07/17 00:38:06
5717       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:10 2018/07/17 00:38:06
5718       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:11 2018/07/17 00:38:06
5719       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:11 2018/07/17 00:38:06
5720       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:11 2018/07/17 00:38:07
5721       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:11 2018/07/17 00:38:07
5722       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:12 2018/07/17 00:38:07
5723       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:12 2018/07/17 00:38:08
5724       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:12 2018/07/17 00:38:08
5725       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:12 2018/07/17 00:38:08
5726       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:13 2018/07/17 00:38:08
5727       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:13 2018/07/17 00:38:09
5728       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:13 2018/07/17 00:38:09
5729       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:13 2018/07/17 00:38:09
5730       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:14 2018/07/17 00:38:10
5731       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:14 2018/07/17 00:38:10
5732       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:14 2018/07/17 00:38:10
5733       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:14 2018/07/17 00:38:10
5734       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:15 2018/07/17 00:38:11
5735       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:15 2018/07/17 00:47:35
5736       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:15 2018/07/17 00:48:01
5737       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:15 2018/07/17 00:48:05
5738       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:16 2018/07/17 00:48:06
5739       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:16 2018/07/17 00:48:09
5740       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:16 2018/07/17 00:48:12
5741       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:16 2018/07/17 00:48:13
5745       0.55923 smb        fj-okada   smb.D                2018/07/16 14:39:17 2018/07/17 00:39:20
5742       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:17 2018/07/17 00:48:13
5744       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:17 2018/07/17 00:48:13
5746       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:17 2018/07/17 00:48:13
5747       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:17 2018/07/17 00:48:15
5748       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:18 2018/07/17 00:48:16
5749       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:18 2018/07/17 00:48:17
5750       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:18 2018/07/17 00:48:18
5751       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:18 2018/07/17 00:48:18
5752       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:19 2018/07/17 00:48:20
